item_id,item,label
389909609190007000,rt usrId new felt #earthquake httpAddress bohol philippines october 15 2013 00 12 utc 7 min ago httpAddress,Informative
389896900444320000,where is liloan central field and how do we get there ? what are the landmarks ? thank httpAddress usrId #cebu,not informative
389908166353232000,earthquake in iloilo philippines ! my head s httpAddress,not informative
389909609190007000,rt usrId new felt #earthquake httpAddress bohol philippines october 15 2013 00 12 utc 7 min ago httpAddress,Informative
389910137676108000,rt usrId 7.2 earthquake 2km s of nueva vida sur httpAddress oct DD 08 12 at epicenter 10m ago 25km tagbilaran httpAddress http,Informative
389910670361100000,rt usrId just in magnitude 7.2 earthquake 2km south of carmen and nueva vida sur httpAddress via usrId usrId,Informative
389911173665002000,rt usrId 7.2 earthquake 2km s of nueva vida sur httpAddress oct DD 08 12 at epicenter 10m ago 25km tagbilaran httpAddress http,Informative
389911358214394000,rt usrId just in magnitude 7.2 earthquake 2km south of carmen and nueva vida sur httpAddress via usrId usrId,Informative
389911794442965000,rt usrId 7.2 earthquake recorded in the philippines bohol province usrId httpAddress,Informative
389911937040933000,rt usrId 7.2 earthquake 2km s of nueva vida sur httpAddress oct DD 08 12 at epicenter 10m ago 25km tagbilaran httpAddress http,Informative
389912536834794000,rt usrId no widespread tsunami hazard for 7.2 magnitude earthquake in mindanao philippines #tsunami #ptwc httpAddress,Informative
389912650068402000,southern philippines hit by 7.4 magnitude earthquake no threat of pacific wide httpAddress,Informative
389913535074927000,bendcenos seor por el terremoto httpAddress #prayforphilippines #philippines #dumaguete #earthquake,not informative
389913589596705000,rt usrId 7.2 earthquake in philippines just now httpAddress via usrId,Informative
389913644131045000,rt usrId #earthquake quake with prelim mag of 7.2 struck philippines DD miles east northeast of tagbilaran bohoi ; no tsunami warning yet,Informative
389913979687944000,it s a good thing the kids are at home httpAddress #earthquake #bacolod #philippines,not informative
389915464446796000,rt usrId no widespread tsunami hazard for 7.2 magnitude earthquake in mindanao philippines #tsunami #ptwc httpAddress,Informative
389917091823763000,usgs m httpAddress 5km e of balilihan philippines tuesday october 15 DD 00 12 37 utctuesday httpAddress httpAddress #earthquake,Informative
389917205078753000,rt usrId photo magnitude 7.2 quake 5km e of balilihan bohol httpAddress please stay httpAddress httpAddress,Informative
389917750363030000,#temblor m httpAddress 6km nne of nueva fuerza philippines httpAddress #earthquake #sismo,Informative
389918157202129000,rt usrId photo magnitude 7.2 quake 5km e of balilihan bohol httpAddress please stay httpAddress httpAddress,Informative
389918857642537000,rt usrId new significant preliminary 7.2 magnitude earthquake just off nueva vida sur philippines usrId,Informative
389919981720195000,rt usrId there was a 7.2 magnitude earthquake in philippines after u posted that httpAddress httpAddress this world can t handle httpAddress usrId,Informative
389920120119636000,national disaster agency D people killed in building collapse in cebu after philippines quake usrId,Informative
389920547934450000,a 7.4 magnitude #earthquake has hit the southern httpAddress there s no threat of a httpAddress,Informative
389922229871321000,rt usrId D people killed in building collapse in cebu philippines after 7.2 earthquake per national disaster agency usrId,Informative
389922267594887000,rt usrId just a strong earthquake recently httpAddress let s pray D those who were badly httpAddress god bless us . #cebu,not informative
389922607333515000,rt usrId D people killed in building collapse in cebu philippines after 7.2 earthquake per national disaster agency usrId,Informative
389924079555207000,rt usrId a httpAddress earthquake has struck in the southeastern philippines the httpAddress geological survey httpAddress httpAddress,Informative
389924092130107000,#earthquake httpAddress bohol philippines httpAddress,Informative
389924213751964000,lord god keep the people safe in the philippines #earthquake,not informative
389924276666524000,rt usrId #breaking #earthquake measuring 7.4 hits southern philippines says usgs,Informative
389924633220112000,7.2 quake hits southern philippines httpAddress,Informative
389926310924915000,#jackrobinson73 httpAddress hits philippines httpAddress #jackrobinson73,Informative
389926344487760000,major quake hits philippines httpAddress,Informative
389926386418217000,breaking a 7.2 earthquake just hit bohol in central httpAddress,Informative
389926617109524000,rt usrId at least four killed in building collapse after 7.2 magnitude earthquake in philippines near cebu officials say,Informative
389926671618298000,rt usrId #earthquake m 7.2 pacific ocean west philippines central visayas buenavista preliminary earthquake httpAddress httpAddress,Informative
389927502119850000,rt usrId let us all pray for the earthquake httpAddress hope everyone is httpAddress #prayforvisayas,not informative
389927728591294000,usrId at least four killed in building collapse after 7.2 magnitude earthquake in philippines near cebu officials say,Informative
389927984435450000,rt usrId let us all pray for the earthquake httpAddress hope everyone is httpAddress #prayforvisayas,not informative
389928051540128000,major earthquake hits the philippines httpAddress,Informative
389928236118856000,7.2 quake hits central philippines killing 4 httpAddress quake hits central philippine island killing at .. httpAddress,Informative
389928303219335000,7.2 quake hits central philippines killing 4 httpAddress quake hits central philippine island killing at .. httpAddress,Informative
389929347617812000,four killed by philippines quake httpAddress,Informative
389929456665522000,rt usrId grabbed pic from the #earthquake httpAddress stay safe everyone #cebu usrId usrId usrIdonline httpAddress,not informative
389929771234111000,7.2 quake his philippines manila httpAddress DD upi a httpAddress earthquake hit the philippines tuesday httpAddress httpAddress,Informative
389930106766246000,rt usrId 7.2 quake strikes near one of philippines largest cities according to httpAddress reuters amp ; local media report D killed httpAddress,Informative
389930605908988000,rt usrId there was an earthquake in the philippines visayas earlier while i was fangirling at keek pls pray for them guys it was,Informative
389930853364548000,rt usrId felt sorry for the victims of the magnitude 7.2 #earthquake in bohol philippines,not informative
389930907886686000,rt usrId prayers to people of philippines affected by magnitude D httpAddress hope all is safe,not informative
389931167941542000,#suryaray #indian 7.2 quake hits central philippines killing D usa today httpAddress usrId #india,Informative
389931276972876000,photo #soco #glass #broken after the shaky #earthquake at #home #kaloka #cebu #instapic httpAddress httpAddress,not informative
389931490894549000,god . wag nio po clang papabayaan #prayforbohol,not informative
389931578971132000,D people killed in building collapse in cebu philippines after 7.2 earthquake per national disaster agency usrId,Informative
389931587363566000,httpAddress hits philippines a httpAddress earthquake struck in the southeastern philippines on httpAddress httpAddress,Informative
389931662874005000,7.2 quake hits central philippines killing D httpAddress,Informative
389931708994564000,rt usrId four killed in building collapse after philippines quake disaster agency httpAddress,Informative
389931721556115000,httpAddress hits philippines a httpAddress earthquake struck in the southeastern philippines on httpAddress httpAddress,Informative
389931935486591000,httpAddress hits philippines a httpAddress earthquake struck in the southeastern philippines on httpAddress httpAddress,Informative
389932359098724000,rt usrId now church and roads impacted by large 7.2 magnitude #earthquake in #bohol #philippines httpAddress D httpAddress httpAddress,Informative
389932552066052000,rt usrId usrId i pray for the safety of the people there in visayas #earthquake #philippines httpAddress st,not informative
389932656885899000,rt usrId afp major 7.2 magnitude quake strikes philippines usgs httpAddress,Informative
389932694638842000,rt usrId 7.2 magnitude earthquake hits central philippines killing four but no tsunami expected say officials httpAddress,Informative
389932761772880000,rt usrId earthquake measuring 7.2 magnitude hits central philippines killing four people officials httpAddress,Informative
389932828890108000,7.2 magnitude keep safe everyone #prayforbohol and to the nearest island who also affected of earthquake #prayforphilippines,Informative
389933231531102000,rt usrId 7.2 quake hits central philippines killing D usa today vancouver httpAddress quake hits central httpAddress httpAddress,Informative
389933239902544000,usrId four killed in building collapse after philippines quake disaster agency httpAddress,Informative
389933332177650000,latest on the deadly #earthquake that hit the #philippines just over an hour httpAddress httpAddress httpAddress,Informative
389933365731660000,let s be united and pray for the #earthquakevictims in bohol and other nearby httpAddress #prayforvisayas #earthquake,not informative
389933592228291000,rt usrId usrId prayers to people of philippines affected by magnitude D httpAddress hope all is safe be safe guys !,not informative
389933822936367000,felt sorry for the victims of the magnitude 7.2 #earthquake in bohol philippines,not informative
389933898433835000,for a boholano ofw like me walang ibang magawa sa ngayon kundi ang magdasal at httpAddress #prayforbohol,not informative
389933999084171000,rt usrId rt usrId 7.2 quake strikes near one of philippines largest httpAddress reuters amp ; local media report D killed httpAddress,Informative
389934313669919000,rt usrId no california tsunami threat after 7.2 earthquake in philippines httpAddress,Informative
